"","rn","1","variable","estimate"
"541","Transmission.TypeAUTOMATIC:Driven_Wheelsfront wheel drive",0,"Transmission.TypeAUTOMATIC:Driven_Wheelsfront wheel drive",0
"542","Transmission.TypeDIRECT_DRIVE:Driven_Wheelsfront wheel drive",-0.00166699762354611,"Transmission.TypeDIRECT_DRIVE:Driven_Wheelsfront wheel drive",-0.00166699762354611
"543","Transmission.TypeMANUAL:Driven_Wheelsfront wheel drive",0,"Transmission.TypeMANUAL:Driven_Wheelsfront wheel drive",0
"544","Transmission.TypeUNKNOWN:Driven_Wheelsfront wheel drive",0,"Transmission.TypeUNKNOWN:Driven_Wheelsfront wheel drive",0
"545","Transmission.TypeAUTOMATIC:Driven_Wheelsrear wheel drive",-0.00219898771745914,"Transmission.TypeAUTOMATIC:Driven_Wheelsrear wheel drive",-0.00219898771745914
"546","Transmission.TypeDIRECT_DRIVE:Driven_Wheelsrear wheel drive",0,"Transmission.TypeDIRECT_DRIVE:Driven_Wheelsrear wheel drive",0
"547","Transmission.TypeMANUAL:Driven_Wheelsrear wheel drive",-0.0210705636879792,"Transmission.TypeMANUAL:Driven_Wheelsrear wheel drive",-0.0210705636879792
"548","Transmission.TypeUNKNOWN:Driven_Wheelsrear wheel drive",0,"Transmission.TypeUNKNOWN:Driven_Wheelsrear wheel drive",0
"549","Transmission.TypeAUTOMATIC:Vehicle.Style2dr SUV",0.0399991609405004,"Transmission.TypeAUTOMATIC:Vehicle.Style2dr SUV",0.0399991609405004
"550","Transmission.TypeDIRECT_DRIVE:Vehicle.Style2dr SUV",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.Style2dr SUV",0
"551","Transmission.TypeMANUAL:Vehicle.Style2dr SUV",0,"Transmission.TypeMANUAL:Vehicle.Style2dr SUV",0
"552","Transmission.TypeUNKNOWN:Vehicle.Style2dr SUV",0,"Transmission.TypeUNKNOWN:Vehicle.Style2dr SUV",0
"553","Transmission.TypeAUTOMATIC:Vehicle.Style4dr Hatchback",-0.0158811489043508,"Transmission.TypeAUTOMATIC:Vehicle.Style4dr Hatchback",-0.0158811489043508
"554","Transmission.TypeDIRECT_DRIVE:Vehicle.Style4dr Hatchback",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.Style4dr Hatchback",0
"555","Transmission.TypeMANUAL:Vehicle.Style4dr Hatchback",0,"Transmission.TypeMANUAL:Vehicle.Style4dr Hatchback",0
"556","Transmission.TypeUNKNOWN:Vehicle.Style4dr Hatchback",0,"Transmission.TypeUNKNOWN:Vehicle.Style4dr Hatchback",0
"557","Transmission.TypeAUTOMATIC:Vehicle.Style4dr SUV",0,"Transmission.TypeAUTOMATIC:Vehicle.Style4dr SUV",0
"558","Transmission.TypeDIRECT_DRIVE:Vehicle.Style4dr SUV",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.Style4dr SUV",0
"559","Transmission.TypeMANUAL:Vehicle.Style4dr SUV",-0.0394655041818557,"Transmission.TypeMANUAL:Vehicle.Style4dr SUV",-0.0394655041818557
"560","Transmission.TypeUNKNOWN:Vehicle.Style4dr SUV",0,"Transmission.TypeUNKNOWN:Vehicle.Style4dr SUV",0
"561","Transmission.TypeAUTOMATIC:Vehicle.StyleCargo Minivan",0,"Transmission.TypeAUTOMATIC:Vehicle.StyleCargo Minivan",0
"562","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleCargo Minivan",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleCargo Minivan",0
"563","Transmission.TypeMANUAL:Vehicle.StyleCargo Minivan",0,"Transmission.TypeMANUAL:Vehicle.StyleCargo Minivan",0
"564","Transmission.TypeUNKNOWN:Vehicle.StyleCargo Minivan",0,"Transmission.TypeUNKNOWN:Vehicle.StyleCargo Minivan",0
"565","Transmission.TypeAUTOMATIC:Vehicle.StyleCargo Van",0,"Transmission.TypeAUTOMATIC:Vehicle.StyleCargo Van",0
"566","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleCargo Van",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleCargo Van",0
"567","Transmission.TypeMANUAL:Vehicle.StyleCargo Van",0,"Transmission.TypeMANUAL:Vehicle.StyleCargo Van",0
"568","Transmission.TypeUNKNOWN:Vehicle.StyleCargo Van",0,"Transmission.TypeUNKNOWN:Vehicle.StyleCargo Van",0
"569","Transmission.TypeAUTOMATIC:Vehicle.StyleConvertible",0.0262836658488172,"Transmission.TypeAUTOMATIC:Vehicle.StyleConvertible",0.0262836658488172
"570","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleConvertible",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleConvertible",0
"571","Transmission.TypeMANUAL:Vehicle.StyleConvertible",0,"Transmission.TypeMANUAL:Vehicle.StyleConvertible",0
"572","Transmission.TypeUNKNOWN:Vehicle.StyleConvertible",0,"Transmission.TypeUNKNOWN:Vehicle.StyleConvertible",0
"573","Transmission.TypeAUTOMATIC:Vehicle.StyleConvertible SUV",0,"Transmission.TypeAUTOMATIC:Vehicle.StyleConvertible SUV",0
"574","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleConvertible SUV",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleConvertible SUV",0
"575","Transmission.TypeMANUAL:Vehicle.StyleConvertible SUV",0,"Transmission.TypeMANUAL:Vehicle.StyleConvertible SUV",0
"576","Transmission.TypeUNKNOWN:Vehicle.StyleConvertible SUV",0,"Transmission.TypeUNKNOWN:Vehicle.StyleConvertible SUV",0
"577","Transmission.TypeAUTOMATIC:Vehicle.StyleCoupe",-0.0240408321098881,"Transmission.TypeAUTOMATIC:Vehicle.StyleCoupe",-0.0240408321098881
"578","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleCoupe",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleCoupe",0
"579","Transmission.TypeMANUAL:Vehicle.StyleCoupe",0,"Transmission.TypeMANUAL:Vehicle.StyleCoupe",0
"580","Transmission.TypeUNKNOWN:Vehicle.StyleCoupe",0,"Transmission.TypeUNKNOWN:Vehicle.StyleCoupe",0
"581","Transmission.TypeAUTOMATIC:Vehicle.StyleCrew Cab Pickup",0,"Transmission.TypeAUTOMATIC:Vehicle.StyleCrew Cab Pickup",0
"582","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleCrew Cab Pickup",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleCrew Cab Pickup",0
"583","Transmission.TypeMANUAL:Vehicle.StyleCrew Cab Pickup",0,"Transmission.TypeMANUAL:Vehicle.StyleCrew Cab Pickup",0
"584","Transmission.TypeUNKNOWN:Vehicle.StyleCrew Cab Pickup",0,"Transmission.TypeUNKNOWN:Vehicle.StyleCrew Cab Pickup",0
"585","Transmission.TypeAUTOMATIC:Vehicle.StyleExtended Cab Pickup",0,"Transmission.TypeAUTOMATIC:Vehicle.StyleExtended Cab Pickup",0
"586","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleExtended Cab Pickup",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleExtended Cab Pickup",0
"587","Transmission.TypeMANUAL:Vehicle.StyleExtended Cab Pickup",0,"Transmission.TypeMANUAL:Vehicle.StyleExtended Cab Pickup",0
"588","Transmission.TypeUNKNOWN:Vehicle.StyleExtended Cab Pickup",0,"Transmission.TypeUNKNOWN:Vehicle.StyleExtended Cab Pickup",0
"589","Transmission.TypeAUTOMATIC:Vehicle.StylePassenger Minivan",0,"Transmission.TypeAUTOMATIC:Vehicle.StylePassenger Minivan",0
"590","Transmission.TypeDIRECT_DRIVE:Vehicle.StylePassenger Minivan",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StylePassenger Minivan",0
"591","Transmission.TypeMANUAL:Vehicle.StylePassenger Minivan",0,"Transmission.TypeMANUAL:Vehicle.StylePassenger Minivan",0
"592","Transmission.TypeUNKNOWN:Vehicle.StylePassenger Minivan",0,"Transmission.TypeUNKNOWN:Vehicle.StylePassenger Minivan",0
"593","Transmission.TypeAUTOMATIC:Vehicle.StylePassenger Van",0,"Transmission.TypeAUTOMATIC:Vehicle.StylePassenger Van",0
"594","Transmission.TypeDIRECT_DRIVE:Vehicle.StylePassenger Van",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StylePassenger Van",0
"595","Transmission.TypeMANUAL:Vehicle.StylePassenger Van",0,"Transmission.TypeMANUAL:Vehicle.StylePassenger Van",0
"596","Transmission.TypeUNKNOWN:Vehicle.StylePassenger Van",0,"Transmission.TypeUNKNOWN:Vehicle.StylePassenger Van",0
"597","Transmission.TypeAUTOMATIC:Vehicle.StyleRegular Cab Pickup",0,"Transmission.TypeAUTOMATIC:Vehicle.StyleRegular Cab Pickup",0
"598","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleRegular Cab Pickup",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleRegular Cab Pickup",0
"599","Transmission.TypeMANUAL:Vehicle.StyleRegular Cab Pickup",0,"Transmission.TypeMANUAL:Vehicle.StyleRegular Cab Pickup",0
"600","Transmission.TypeUNKNOWN:Vehicle.StyleRegular Cab Pickup",0,"Transmission.TypeUNKNOWN:Vehicle.StyleRegular Cab Pickup",0
"601","Transmission.TypeAUTOMATIC:Vehicle.StyleSedan",0,"Transmission.TypeAUTOMATIC:Vehicle.StyleSedan",0
"602","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleSedan",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleSedan",0
"603","Transmission.TypeMANUAL:Vehicle.StyleSedan",-0.011850304964779,"Transmission.TypeMANUAL:Vehicle.StyleSedan",-0.011850304964779
"604","Transmission.TypeUNKNOWN:Vehicle.StyleSedan",0,"Transmission.TypeUNKNOWN:Vehicle.StyleSedan",0
"605","Transmission.TypeAUTOMATIC:Vehicle.StyleWagon",0,"Transmission.TypeAUTOMATIC:Vehicle.StyleWagon",0
"606","Transmission.TypeDIRECT_DRIVE:Vehicle.StyleWagon",0,"Transmission.TypeDIRECT_DRIVE:Vehicle.StyleWagon",0
"607","Transmission.TypeMANUAL:Vehicle.StyleWagon",0,"Transmission.TypeMANUAL:Vehicle.StyleWagon",0
"608","Transmission.TypeUNKNOWN:Vehicle.StyleWagon",0,"Transmission.TypeUNKNOWN:Vehicle.StyleWagon",0
"609","Transmission.TypeAUTOMATIC:highway.MPG",0,"Transmission.TypeAUTOMATIC:highway.MPG",0
"610","Transmission.TypeDIRECT_DRIVE:highway.MPG",0,"Transmission.TypeDIRECT_DRIVE:highway.MPG",0
"611","Transmission.TypeMANUAL:highway.MPG",0,"Transmission.TypeMANUAL:highway.MPG",0
"612","Transmission.TypeUNKNOWN:highway.MPG",0,"Transmission.TypeUNKNOWN:highway.MPG",0
"613","Transmission.TypeAUTOMATIC:city.mpg",0,"Transmission.TypeAUTOMATIC:city.mpg",0
"614","Transmission.TypeDIRECT_DRIVE:city.mpg",0,"Transmission.TypeDIRECT_DRIVE:city.mpg",0
"615","Transmission.TypeMANUAL:city.mpg",-0.00390109867179329,"Transmission.TypeMANUAL:city.mpg",-0.00390109867179329
"616","Transmission.TypeUNKNOWN:city.mpg",0,"Transmission.TypeUNKNOWN:city.mpg",0
"617","Transmission.TypeAUTOMATIC:Popularity",-1.90761847087189e-06,"Transmission.TypeAUTOMATIC:Popularity",-1.90761847087189e-06
"618","Transmission.TypeDIRECT_DRIVE:Popularity",0,"Transmission.TypeDIRECT_DRIVE:Popularity",0
"619","Transmission.TypeMANUAL:Popularity",-8.60599269128239e-06,"Transmission.TypeMANUAL:Popularity",-8.60599269128239e-06
"620","Transmission.TypeUNKNOWN:Popularity",0,"Transmission.TypeUNKNOWN:Popularity",0
"621","Transmission.TypeAUTOMATIC:Engine.HP.Clean",0,"Transmission.TypeAUTOMATIC:Engine.HP.Clean",0
"622","Transmission.TypeDIRECT_DRIVE:Engine.HP.Clean",-7.66470574894414e-08,"Transmission.TypeDIRECT_DRIVE:Engine.HP.Clean",-7.66470574894414e-08
"623","Transmission.TypeMANUAL:Engine.HP.Clean",0,"Transmission.TypeMANUAL:Engine.HP.Clean",0
"624","Transmission.TypeUNKNOWN:Engine.HP.Clean",0,"Transmission.TypeUNKNOWN:Engine.HP.Clean",0
"625","Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean4",0,"Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean4",0
"626","Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean4",-2.88658312713903e-14,"Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean4",-2.88658312713903e-14
"627","Transmission.TypeMANUAL:Engine.Cylinders.Clean4",0,"Transmission.TypeMANUAL:Engine.Cylinders.Clean4",0
"628","Transmission.TypeUNKNOWN:Engine.Cylinders.Clean4",0,"Transmission.TypeUNKNOWN:Engine.Cylinders.Clean4",0
"629","Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean5",0,"Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean5",0
"630","Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean5",0,"Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean5",0
"631","Transmission.TypeMANUAL:Engine.Cylinders.Clean5",0,"Transmission.TypeMANUAL:Engine.Cylinders.Clean5",0
"632","Transmission.TypeUNKNOWN:Engine.Cylinders.Clean5",0,"Transmission.TypeUNKNOWN:Engine.Cylinders.Clean5",0
"633","Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean6",0,"Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean6",0
"634","Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean6",0,"Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean6",0
"635","Transmission.TypeMANUAL:Engine.Cylinders.Clean6",0.064568969804172,"Transmission.TypeMANUAL:Engine.Cylinders.Clean6",0.064568969804172
"636","Transmission.TypeUNKNOWN:Engine.Cylinders.Clean6",0,"Transmission.TypeUNKNOWN:Engine.Cylinders.Clean6",0
"637","Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean8",0,"Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean8",0
"638","Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean8",0,"Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean8",0
"639","Transmission.TypeMANUAL:Engine.Cylinders.Clean8",-0.043923233303567,"Transmission.TypeMANUAL:Engine.Cylinders.Clean8",-0.043923233303567
"640","Transmission.TypeUNKNOWN:Engine.Cylinders.Clean8",0,"Transmission.TypeUNKNOWN:Engine.Cylinders.Clean8",0
"641","Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean10",0,"Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean10",0
"642","Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean10",0,"Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean10",0
"643","Transmission.TypeMANUAL:Engine.Cylinders.Clean10",0,"Transmission.TypeMANUAL:Engine.Cylinders.Clean10",0
"644","Transmission.TypeUNKNOWN:Engine.Cylinders.Clean10",0,"Transmission.TypeUNKNOWN:Engine.Cylinders.Clean10",0
"645","Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean12",0.000236227640742212,"Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean12",0.000236227640742212
"646","Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean12",0,"Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean12",0
"647","Transmission.TypeMANUAL:Engine.Cylinders.Clean12",0,"Transmission.TypeMANUAL:Engine.Cylinders.Clean12",0
"648","Transmission.TypeUNKNOWN:Engine.Cylinders.Clean12",0,"Transmission.TypeUNKNOWN:Engine.Cylinders.Clean12",0
"649","Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean16",0,"Transmission.TypeAUTOMATIC:Engine.Cylinders.Clean16",0
"650","Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean16",0,"Transmission.TypeDIRECT_DRIVE:Engine.Cylinders.Clean16",0
"651","Transmission.TypeMANUAL:Engine.Cylinders.Clean16",0,"Transmission.TypeMANUAL:Engine.Cylinders.Clean16",0
"652","Transmission.TypeUNKNOWN:Engine.Cylinders.Clean16",0,"Transmission.TypeUNKNOWN:Engine.Cylinders.Clean16",0
"653","Transmission.TypeAUTOMATIC:NumDoors.Clean3",0,"Transmission.TypeAUTOMATIC:NumDoors.Clean3",0
"654","Transmission.TypeDIRECT_DRIVE:NumDoors.Clean3",0,"Transmission.TypeDIRECT_DRIVE:NumDoors.Clean3",0
"655","Transmission.TypeMANUAL:NumDoors.Clean3",0,"Transmission.TypeMANUAL:NumDoors.Clean3",0
"656","Transmission.TypeUNKNOWN:NumDoors.Clean3",0,"Transmission.TypeUNKNOWN:NumDoors.Clean3",0
"657","Transmission.TypeAUTOMATIC:NumDoors.Clean4",0,"Transmission.TypeAUTOMATIC:NumDoors.Clean4",0
"658","Transmission.TypeDIRECT_DRIVE:NumDoors.Clean4",-7.75455422195003e-05,"Transmission.TypeDIRECT_DRIVE:NumDoors.Clean4",-7.75455422195003e-05
"659","Transmission.TypeMANUAL:NumDoors.Clean4",-0.00848967691901072,"Transmission.TypeMANUAL:NumDoors.Clean4",-0.00848967691901072
"660","Transmission.TypeUNKNOWN:NumDoors.Clean4",0,"Transmission.TypeUNKNOWN:NumDoors.Clean4",0
"661","Driven_Wheelsfour wheel drive:Vehicle.Style2dr SUV",0,"Driven_Wheelsfour wheel drive:Vehicle.Style2dr SUV",0
"662","Driven_Wheelsfront wheel drive:Vehicle.Style2dr SUV",0,"Driven_Wheelsfront wheel drive:Vehicle.Style2dr SUV",0
"663","Driven_Wheelsrear wheel drive:Vehicle.Style2dr SUV",0,"Driven_Wheelsrear wheel drive:Vehicle.Style2dr SUV",0
"664","Driven_Wheelsfour wheel drive:Vehicle.Style4dr Hatchback",0,"Driven_Wheelsfour wheel drive:Vehicle.Style4dr Hatchback",0
"665","Driven_Wheelsfront wheel drive:Vehicle.Style4dr Hatchback",0,"Driven_Wheelsfront wheel drive:Vehicle.Style4dr Hatchback",0
"666","Driven_Wheelsrear wheel drive:Vehicle.Style4dr Hatchback",0.0405237155771045,"Driven_Wheelsrear wheel drive:Vehicle.Style4dr Hatchback",0.0405237155771045
"667","Driven_Wheelsfour wheel drive:Vehicle.Style4dr SUV",-0.0116775776349563,"Driven_Wheelsfour wheel drive:Vehicle.Style4dr SUV",-0.0116775776349563
"668","Driven_Wheelsfront wheel drive:Vehicle.Style4dr SUV",0.031662719040176,"Driven_Wheelsfront wheel drive:Vehicle.Style4dr SUV",0.031662719040176
"669","Driven_Wheelsrear wheel drive:Vehicle.Style4dr SUV",0.0138805313241968,"Driven_Wheelsrear wheel drive:Vehicle.Style4dr SUV",0.0138805313241968
"670","Driven_Wheelsfour wheel drive:Vehicle.StyleCargo Minivan",0,"Driven_Wheelsfour wheel drive:Vehicle.StyleCargo Minivan",0
"671","Driven_Wheelsfront wheel drive:Vehicle.StyleCargo Minivan",0,"Driven_Wheelsfront wheel drive:Vehicle.StyleCargo Minivan",0
"672","Driven_Wheelsrear wheel drive:Vehicle.StyleCargo Minivan",-0.0134805404938165,"Driven_Wheelsrear wheel drive:Vehicle.StyleCargo Minivan",-0.0134805404938165
"673","Driven_Wheelsfour wheel drive:Vehicle.StyleCargo Van",0,"Driven_Wheelsfour wheel drive:Vehicle.StyleCargo Van",0
"674","Driven_Wheelsfront wheel drive:Vehicle.StyleCargo Van",0,"Driven_Wheelsfront wheel drive:Vehicle.StyleCargo Van",0
"675","Driven_Wheelsrear wheel drive:Vehicle.StyleCargo Van",0,"Driven_Wheelsrear wheel drive:Vehicle.StyleCargo Van",0
"676","Driven_Wheelsfour wheel drive:Vehicle.StyleConvertible",0,"Driven_Wheelsfour wheel drive:Vehicle.StyleConvertible",0
"677","Driven_Wheelsfront wheel drive:Vehicle.StyleConvertible",0,"Driven_Wheelsfront wheel drive:Vehicle.StyleConvertible",0
"678","Driven_Wheelsrear wheel drive:Vehicle.StyleConvertible",0,"Driven_Wheelsrear wheel drive:Vehicle.StyleConvertible",0
"679","Driven_Wheelsfour wheel drive:Vehicle.StyleConvertible SUV",0,"Driven_Wheelsfour wheel drive:Vehicle.StyleConvertible SUV",0
"680","Driven_Wheelsfront wheel drive:Vehicle.StyleConvertible SUV",0,"Driven_Wheelsfront wheel drive:Vehicle.StyleConvertible SUV",0
"681","Driven_Wheelsrear wheel drive:Vehicle.StyleConvertible SUV",-0.0349765095703982,"Driven_Wheelsrear wheel drive:Vehicle.StyleConvertible SUV",-0.0349765095703982
"682","Driven_Wheelsfour wheel drive:Vehicle.StyleCoupe",0,"Driven_Wheelsfour wheel drive:Vehicle.StyleCoupe",0
"683","Driven_Wheelsfront wheel drive:Vehicle.StyleCoupe",-0.15981692669692,"Driven_Wheelsfront wheel drive:Vehicle.StyleCoupe",-0.15981692669692
"684","Driven_Wheelsrear wheel drive:Vehicle.StyleCoupe",0,"Driven_Wheelsrear wheel drive:Vehicle.StyleCoupe",0
"685","Driven_Wheelsfour wheel drive:Vehicle.StyleCrew Cab Pickup",0.00301761411145934,"Driven_Wheelsfour wheel drive:Vehicle.StyleCrew Cab Pickup",0.00301761411145934
"686","Driven_Wheelsfront wheel drive:Vehicle.StyleCrew Cab Pickup",0,"Driven_Wheelsfront wheel drive:Vehicle.StyleCrew Cab Pickup",0
"687","Driven_Wheelsrear wheel drive:Vehicle.StyleCrew Cab Pickup",0,"Driven_Wheelsrear wheel drive:Vehicle.StyleCrew Cab Pickup",0
"688","Driven_Wheelsfour wheel drive:Vehicle.StyleExtended Cab Pickup",0,"Driven_Wheelsfour wheel drive:Vehicle.StyleExtended Cab Pickup",0
"689","Driven_Wheelsfront wheel drive:Vehicle.StyleExtended Cab Pickup",0,"Driven_Wheelsfront wheel drive:Vehicle.StyleExtended Cab Pickup",0
"690","Driven_Wheelsrear wheel drive:Vehicle.StyleExtended Cab Pickup",-0.040381991965869,"Driven_Wheelsrear wheel drive:Vehicle.StyleExtended Cab Pickup",-0.040381991965869
"691","Driven_Wheelsfour wheel drive:Vehicle.StylePassenger Minivan",0,"Driven_Wheelsfour wheel drive:Vehicle.StylePassenger Minivan",0
"692","Driven_Wheelsfront wheel drive:Vehicle.StylePassenger Minivan",-2.50851078961966e-05,"Driven_Wheelsfront wheel drive:Vehicle.StylePassenger Minivan",-2.50851078961966e-05
"693","Driven_Wheelsrear wheel drive:Vehicle.StylePassenger Minivan",0,"Driven_Wheelsrear wheel drive:Vehicle.StylePassenger Minivan",0
"694","Driven_Wheelsfour wheel drive:Vehicle.StylePassenger Van",0,"Driven_Wheelsfour wheel drive:Vehicle.StylePassenger Van",0
"695","Driven_Wheelsfront wheel drive:Vehicle.StylePassenger Van",0,"Driven_Wheelsfront wheel drive:Vehicle.StylePassenger Van",0
"696","Driven_Wheelsrear wheel drive:Vehicle.StylePassenger Van",0.0238834480199071,"Driven_Wheelsrear wheel drive:Vehicle.StylePassenger Van",0.0238834480199071
"697","Driven_Wheelsfour wheel drive:Vehicle.StyleRegular Cab Pickup",0,"Driven_Wheelsfour wheel drive:Vehicle.StyleRegular Cab Pickup",0
"698","Driven_Wheelsfront wheel drive:Vehicle.StyleRegular Cab Pickup",0,"Driven_Wheelsfront wheel drive:Vehicle.StyleRegular Cab Pickup",0
"699","Driven_Wheelsrear wheel drive:Vehicle.StyleRegular Cab Pickup",-0.0754216191843473,"Driven_Wheelsrear wheel drive:Vehicle.StyleRegular Cab Pickup",-0.0754216191843473
"700","Driven_Wheelsfour wheel drive:Vehicle.StyleSedan",-0.114895884265522,"Driven_Wheelsfour wheel drive:Vehicle.StyleSedan",-0.114895884265522
"701","Driven_Wheelsfront wheel drive:Vehicle.StyleSedan",0,"Driven_Wheelsfront wheel drive:Vehicle.StyleSedan",0
"702","Driven_Wheelsrear wheel drive:Vehicle.StyleSedan",0.0286274109732597,"Driven_Wheelsrear wheel drive:Vehicle.StyleSedan",0.0286274109732597
"703","Driven_Wheelsfour wheel drive:Vehicle.StyleWagon",0,"Driven_Wheelsfour wheel drive:Vehicle.StyleWagon",0
"704","Driven_Wheelsfront wheel drive:Vehicle.StyleWagon",-0.0115295036609275,"Driven_Wheelsfront wheel drive:Vehicle.StyleWagon",-0.0115295036609275
"705","Driven_Wheelsrear wheel drive:Vehicle.StyleWagon",0,"Driven_Wheelsrear wheel drive:Vehicle.StyleWagon",0
"706","Driven_Wheelsfour wheel drive:highway.MPG",0,"Driven_Wheelsfour wheel drive:highway.MPG",0
"707","Driven_Wheelsfront wheel drive:highway.MPG",0,"Driven_Wheelsfront wheel drive:highway.MPG",0
"708","Driven_Wheelsrear wheel drive:highway.MPG",0,"Driven_Wheelsrear wheel drive:highway.MPG",0
"709","Driven_Wheelsfour wheel drive:city.mpg",0,"Driven_Wheelsfour wheel drive:city.mpg",0
"710","Driven_Wheelsfront wheel drive:city.mpg",0,"Driven_Wheelsfront wheel drive:city.mpg",0
"711","Driven_Wheelsrear wheel drive:city.mpg",0,"Driven_Wheelsrear wheel drive:city.mpg",0
"712","Driven_Wheelsfour wheel drive:Popularity",1.17380922440848e-06,"Driven_Wheelsfour wheel drive:Popularity",1.17380922440848e-06
"713","Driven_Wheelsfront wheel drive:Popularity",-4.63054717508348e-06,"Driven_Wheelsfront wheel drive:Popularity",-4.63054717508348e-06
"714","Driven_Wheelsrear wheel drive:Popularity",0,"Driven_Wheelsrear wheel drive:Popularity",0
"715","Driven_Wheelsfour wheel drive:Engine.HP.Clean",0,"Driven_Wheelsfour wheel drive:Engine.HP.Clean",0
"716","Driven_Wheelsfront wheel drive:Engine.HP.Clean",0,"Driven_Wheelsfront wheel drive:Engine.HP.Clean",0
"717","Driven_Wheelsrear wheel drive:Engine.HP.Clean",-0.000255614158309289,"Driven_Wheelsrear wheel drive:Engine.HP.Clean",-0.000255614158309289
"718","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean4",0,"Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean4",0
"719","Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean4",0,"Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean4",0
"720","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean4",0.00394821239696783,"Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean4",0.00394821239696783
"721","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean5",0,"Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean5",0
"722","Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean5",0,"Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean5",0
"723","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean5",-0.0119222955733083,"Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean5",-0.0119222955733083
"724","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean6",0.00921349961242112,"Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean6",0.00921349961242112
"725","Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean6",0,"Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean6",0
"726","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean6",0,"Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean6",0
"727","Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean8",-0.00357873706545837,"Driven_Wheelsfour wheel drive:Engine.Cylinders.Clean8",-0.00357873706545837
"728","Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean8",0.10977007702139,"Driven_Wheelsfront wheel drive:Engine.Cylinders.Clean8",0.10977007702139
"729","Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean8",0,"Driven_Wheelsrear wheel drive:Engine.Cylinders.Clean8",0
